run_id,query_id,pipeline_id,is_correct,total_error,interaction_term,dominant_fault,dominant_fault_confidence,phi_scope,phi_facts,phi_aggregation
4a696fae230c8f3ab761cc32fe43fb46,f37f7d8a-956b-554b-bc6b-c570c05cf87b,P4-compound-scope-facts,False,0.8,0.0,scope,0.4,0.4,0.4,0.0
c92b4fdff7af676cf49949029b8654e4,f37f7d8a-956b-554b-bc6b-c570c05cf87b,P5-full-compound,False,0.6,0.0,scope,0.3,0.3,0.3,0.0
373c30c9dfa28688141e664ad672e2ef,f37f7d8a-956b-554b-bc6b-c570c05cf87b,gnn-extractor,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
fbb6cc3786b5b0fc8386d7629e43427e,0fa1ca60-5437-59f6-82da-c9eff94f2d57,P0-deterministic-scope-baseline,True,0.0,0.0,none,0.0,0.0,0.0,0.0
516158b4cf9a6b3bb2debfb80bc30a3a,0fa1ca60-5437-59f6-82da-c9eff94f2d57,P1-wrong-scope,False,0.6666666666666666,0.0,scope,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
0f50c2f13ac2b5682f6a02d339ec0898,0fa1ca60-5437-59f6-82da-c9eff94f2d57,P2-wrong-facts,True,0.0,0.0,none,0.0,0.0,0.0,0.0
9312488a947697c0d3105fec534b3826,0fa1ca60-5437-59f6-82da-c9eff94f2d57,P3-wrong-aggregation,False,0.3333333333333333,0.0,scope,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
96b229dc5bc85830e659edd192038329,0fa1ca60-5437-59f6-82da-c9eff94f2d57,P4-compound-scope-facts,False,0.6666666666666666,0.0,scope,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
3342b3b0023cb5f67f3fac50b482add4,0fa1ca60-5437-59f6-82da-c9eff94f2d57,P5-full-compound,False,0.6666666666666666,0.0,scope,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
063aacc455c01e7c57a9e56403404bfe,0fa1ca60-5437-59f6-82da-c9eff94f2d57,gnn-extractor,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
56c4f74b58a62390de1763596fcb43be,0077e9de-3578-56fa-9f19-be075dbc5dfe,P0-deterministic-scope-baseline,True,0.0,0.0,none,0.0,0.0,0.0,0.0
